2025-10-18 02:28:24 - INFO - ================================================================================
2025-10-18 02:28:24 - INFO - INICIO DE EJECUCIÓN - Algoritmo Genético España
2025-10-18 02:28:24 - INFO - Log guardado en: logs\18_02_28_Elit_10.log
2025-10-18 02:28:24 - INFO - ================================================================================
2025-10-18 02:28:24 - INFO - 
================================================================================
2025-10-18 02:28:24 - INFO - ALGORITMO GENÉTICO
2025-10-18 02:28:24 - INFO - ================================================================================
2025-10-18 02:28:24 - INFO - Días: 20
2025-10-18 02:28:24 - INFO - Lugares/día: 12
2025-10-18 02:28:24 - INFO - Población: 750
2025-10-18 02:28:24 - INFO - Tiempo límite: 2h 0m (2.00h)
2025-10-18 02:28:24 - INFO - Elitismo: 10%
2025-10-18 02:28:24 - INFO - Dataset: 2237 lugares en 20 ciudades
2025-10-18 02:28:24 - INFO - 💡 Presiona 'q' + ENTER en cualquier momento para detener y guardar el mejor resultado
2025-10-18 02:28:24 - INFO - ================================================================================

2025-10-18 02:28:24 - INFO - Creando población inicial
2025-10-18 02:32:50 - INFO - Evaluando población inicial
2025-10-18 02:32:54 - INFO - 
Iniciando evolución (hasta 7200s)...

2025-10-18 03:21:06 - INFO -   Gen  750 | Tiempo:   52.6m (resta: 67m) | Fitness:    154.2 | Puntos: 17456 | Dist:   123.6km
2025-10-18 03:22:08 - INFO -   Gen  766 | Tiempo:   53.7m (resta: 66m) | Fitness:    154.2 | Puntos: 17456 | Dist:   123.6km
2025-10-18 03:23:09 - INFO -   Gen  782 | Tiempo:   54.7m (resta: 65m) | Fitness:    154.2 | Puntos: 17456 | Dist:   123.6km
2025-10-18 03:24:10 - INFO -   Gen  798 | Tiempo:   55.7m (resta: 64m) | Fitness:    154.2 | Puntos: 17456 | Dist:   123.6km
2025-10-18 03:24:18 - INFO -   Gen  800 | Tiempo:   55.8m (resta: 64m) | Fitness:    154.2 | Puntos: 17456 | Dist:   123.6km
2025-10-18 03:25:19 - INFO -   Gen  816 | Tiempo:   56.8m (resta: 63m) | Fitness:    154.3 | Puntos: 17467 | Dist:   127.8km
2025-10-18 03:26:20 - INFO -   Gen  832 | Tiempo:   57.9m (resta: 62m) | Fitness:    154.4 | Puntos: 17481 | Dist:   123.2km
2025-10-18 03:27:21 - INFO -   Gen  848 | Tiempo:   58.9m (resta: 61m) | Fitness:    154.6 | Puntos: 17498 | Dist:   124.9km
2025-10-18 03:27:28 - INFO -   Gen  850 | Tiempo:   59.0m (resta: 60m) | Fitness:    154.6 | Puntos: 17498 | Dist:   124.9km
2025-10-18 03:28:29 - INFO -   Gen  866 | Tiempo:   60.0m (resta: 59m) | Fitness:    154.6 | Puntos: 17498 | Dist:   124.9km
2025-10-18 03:29:30 - INFO -   Gen  882 | Tiempo:   61.0m (resta: 58m) | Fitness:    154.6 | Puntos: 17498 | Dist:   124.9km
2025-10-18 03:30:32 - INFO -   Gen  898 | Tiempo:   62.1m (resta: 57m) | Fitness:    154.6 | Puntos: 17498 | Dist:   124.9km
2025-10-18 03:30:39 - INFO -   Gen  900 | Tiempo:   62.2m (resta: 57m) | Fitness:    154.6 | Puntos: 17498 | Dist:   124.9km
2025-10-18 03:31:40 - INFO -   Gen  916 | Tiempo:   63.2m (resta: 56m) | Fitness:    154.6 | Puntos: 17498 | Dist:   124.9km
2025-10-18 03:32:41 - INFO -   Gen  932 | Tiempo:   64.2m (resta: 55m) | Fitness:    155.4 | Puntos: 17480 | Dist:   121.7km
2025-10-18 03:33:43 - INFO -   Gen  948 | Tiempo:   65.2m (resta: 54m) | Fitness:    155.4 | Puntos: 17480 | Dist:   121.7km
2025-10-18 03:33:51 - INFO -   Gen  950 | Tiempo:   65.4m (resta: 54m) | Fitness:    155.4 | Puntos: 17480 | Dist:   121.7km
2025-10-18 03:34:52 - INFO -   Gen  966 | Tiempo:   66.4m (resta: 53m) | Fitness:    155.6 | Puntos: 17493 | Dist:   120.0km
2025-10-18 03:35:54 - INFO -   Gen  982 | Tiempo:   67.4m (resta: 52m) | Fitness:    155.6 | Puntos: 17493 | Dist:   120.0km
2025-10-18 03:36:56 - INFO -   Gen  998 | Tiempo:   68.5m (resta: 51m) | Fitness:    155.6 | Puntos: 17493 | Dist:   120.0km
2025-10-18 03:37:03 - INFO -   Gen 1000 | Tiempo:   68.6m (resta: 51m) | Fitness:    155.6 | Puntos: 17493 | Dist:   120.0km
2025-10-18 03:38:05 - INFO -   Gen 1016 | Tiempo:   69.6m (resta: 50m) | Fitness:    155.6 | Puntos: 17493 | Dist:   120.0km
2025-10-18 03:39:07 - INFO -   Gen 1032 | Tiempo:   70.7m (resta: 49m) | Fitness:    155.6 | Puntos: 17498 | Dist:   126.5km
2025-10-18 03:40:10 - INFO -   Gen 1048 | Tiempo:   71.7m (resta: 48m) | Fitness:    155.6 | Puntos: 17498 | Dist:   126.5km
